map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,finish_reason,duration_s,total_dist_m,collision_flag,max_speed,max_lat_acc,global_min_d,global_unsafe_ratio,global_track_rms,global_lat_acc_rms,frenet_usage_pct,fgm_usage_pct,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d_mean,fre_min_d_min,fre_track_rms_calc,ts_last_t,is_success
hairpin_combo,0.9569,1.3932,1.4536,1.5237,1.1112,0.1848,Opp_bumper_slow_1.csv,MUX_RACING,1765041569,CRASH,26.09,Mux_hairpin_combo_WS0.9569_WT1.3932_WC1.4536_WCL1.5237_WD1.1112_DM0.1848_Opp_bumper_slow_1.csv_MUX_RACING_1765041569_CRASH_dur_26.09s.csv,COLLISION DETECTED,26.09,112.61,True,4.7,20.41,0.0,0.09,0.26,3.78,84.87,15.13,0.0,0.37,0.47,0.91505815619252,0.214284,0.22207291998557058,26.0913,False
Spielberg,0.99,2.18,1.47,2.33,2.63,0.54,Opp_bumper_slow_1.csv,MUX_RACING,1765046373,GOAL,76.33,Mux_Spielberg_WS0.99_WT2.18_WC1.47_WCL2.33_WD2.63_DM0.54_Opp_bumper_slow_1.csv_MUX_RACING_1765046373_GOAL_dur_76.33s.csv,GOAL REACHED,76.33,336.73,False,4.81,9.25,0.0,0.05,0.16,1.75,92.97,7.03,0.0,0.5,0.25,0.7578721041764921,0.218775,0.1762076994630354,76.3283,True
Spielberg,1.19,2.19,1.58,2.36,2.66,0.53,Opp_bumper_slow_1.csv,MUX_RACING,1765034129,GOAL,78.39,Mux_Spielberg_WS1.19_WT2.19_WC1.58_WCL2.36_WD2.66_DM0.53_Opp_bumper_slow_1.csv_MUX_RACING_1765034129_GOAL_dur_78.39s.csv,GOAL REACHED,78.39,336.53,False,4.7,9.52,0.0,0.21,0.24,1.73,90.71,9.29,0.0,0.48,0.22,0.7126864814021123,0.213672,0.24540899673703057,78.3916,True
hairpin_combo,0.95,2.14,1.46,2.31,2.61,0.53,Opp_bumper_slow_1.csv,MUX_RACING,1765062020,CRASH,21.67,Mux_hairpin_combo_WS0.95_WT2.14_WC1.46_WCL2.31_WD2.61_DM0.53_Opp_bumper_slow_1.csv_MUX_RACING_1765062020_CRASH_dur_21.67s.csv,COLLISION DETECTED,21.67,93.51,True,4.7,12.86,0.0,0.19,0.37,3.41,90.39,9.61,0.0,0.14,0.33,0.8220675285107953,0.247322,0.36258285426512105,21.6716,False
Spielberg,1.524,1.4754,1.3739,1.1054,1.2128,0.191,Opp_bumper_slow_1.csv,MUX_RACING,1765034236,GOAL,75.8,Mux_Spielberg_WS1.524_WT1.4754_WC1.3739_WCL1.1054_WD1.2128_DM0.191_Opp_bumper_slow_1.csv_MUX_RACING_1765034236_GOAL_dur_75.80s.csv,GOAL REACHED,75.8,337.17,False,5.08,14.89,0.0,0.05,0.15,1.91,92.94,7.06,0.0,0.61,0.26,0.7655392793868921,0.0,0.17875358291776142,75.7995,True
hairpin_combo,2.51,1.49,0.85,1.28,1.36,0.38,Opp_bumper_slow_1.csv,MUX_RACING,1765058403,GOAL,60.4,Mux_hairpin_combo_WS2.51_WT1.49_WC0.85_WCL1.28_WD1.36_DM0.38_Opp_bumper_slow_1.csv_MUX_RACING_1765058403_GOAL_dur_60.40s.csv,GOAL REACHED,60.4,255.32,False,4.92,18.72,0.0,0.17,0.38,3.48,84.43,14.6,0.0,0.49,0.41,0.8211821751539633,0.0,0.3956882783697836,60.4001,True
hairpin_combo,2.41,1.48,0.79,1.28,1.36,0.37,Opp_bumper_slow_1.csv,MUX_RACING,1765052031,GOAL,60.28,Mux_hairpin_combo_WS2.41_WT1.48_WC0.79_WCL1.28_WD1.36_DM0.37_Opp_bumper_slow_1.csv_MUX_RACING_1765052031_GOAL_dur_60.28s.csv,GOAL REACHED,60.28,256.5,False,4.85,16.37,0.0,0.22,0.42,3.39,83.68,16.32,0.0,0.5,0.4,0.8037190752106695,0.0,0.43080475468102614,60.2799,True
Spielberg,0.87,2.58,1.81,2.71,2.91,0.57,Opp_bumper_slow_1.csv,MUX_RACING,1765033011,GOAL,76.26,Mux_Spielberg_WS0.87_WT2.58_WC1.81_WCL2.71_WD2.91_DM0.57_Opp_bumper_slow_1.csv_MUX_RACING_1765033011_GOAL_dur_76.26s.csv,GOAL REACHED,76.26,336.54,False,5.01,9.48,0.0,0.05,0.16,1.77,93.91,6.09,0.0,0.5,0.26,0.7825118208328962,0.228269,0.15649640466792814,76.2601,True
Spielberg,2.9497,1.6935,0.4106,0.7772,0.5144,0.1512,Opp_bumper_slow_1.csv,MUX_RACING,1765035505,GOAL,73.78,Mux_Spielberg_WS2.9497_WT1.6935_WC0.4106_WCL0.7772_WD0.5144_DM0.1512_Opp_bumper_slow_1.csv_MUX_RACING_1765035505_GOAL_dur_73.78s.csv,GOAL REACHED,73.78,336.83,False,5.11,13.08,0.0,0.05,0.2,1.89,97.04,2.96,0.0,0.64,0.28,0.7258471201886588,0.0,0.21462192770062144,73.78,True
hairpin_combo,0.89,2.58,1.75,2.66,2.9,0.58,Opp_bumper_slow_1.csv,MUX_RACING,1765054448,CRASH,25.62,Mux_hairpin_combo_WS0.89_WT2.58_WC1.75_WCL2.66_WD2.90_DM0.58_Opp_bumper_slow_1.csv_MUX_RACING_1765054448_CRASH_dur_25.62s.csv,COLLISION DETECTED,25.62,111.85,True,4.7,24.73,0.01,0.07,0.21,4.2,89.74,10.26,0.01,0.34,0.29,0.9030415970964719,0.154989,0.20906469353977508,25.62,False
hairpin_combo,1.2082,3.0446,1.3749,1.1709,1.1202,0.1757,Opp_bumper_slow_1.csv,MUX_RACING,1765045867,CRASH,6.61,Mux_hairpin_combo_WS1.2082_WT3.0446_WC1.3749_WCL1.1709_WD1.1202_DM0.1757_Opp_bumper_slow_1.csv_MUX_RACING_1765045867_CRASH_dur_6.61s.csv,COLLISION DETECTED,6.61,15.45,True,3.98,1.53,0.21,0.47,0.68,0.36,100.0,0.0,1000000000.0,0.0,0.0,0.6080308355501813,0.208292,0.6775271713047841,6.61153,False
hairpin_combo,2.03,1.14,0.82,1.53,1.92,0.46,Opp_bumper_slow_1.csv,MUX_RACING,1765049905,GOAL,59.85,Mux_hairpin_combo_WS2.03_WT1.14_WC0.82_WCL1.53_WD1.92_DM0.46_Opp_bumper_slow_1.csv_MUX_RACING_1765049905_GOAL_dur_59.85s.csv,GOAL REACHED,59.85,255.62,False,4.99,19.38,0.0,0.13,0.37,3.6,87.01,12.99,0.0,0.36,0.39,0.8339860414194066,0.0,0.3654985632641798,59.8517,True
hairpin_combo,0.6147,1.4843,0.9283,2.6025,2.8232,0.2735,Opp_bumper_slow_1.csv,MUX_RACING,1765042987,ABORT,92.93,Mux_hairpin_combo_WS0.6147_WT1.4843_WC0.9283_WCL2.6025_WD2.8232_DM0.2735_Opp_bumper_slow_1.csv_MUX_RACING_1765042987_ABORT_dur_92.93s.csv,MANUAL_ABORT,92.93,378.97,False,4.84,17.69,0.0,0.17,0.4,3.21,76.29,23.71,0.0,0.43,0.37,0.8265421264745633,0.0,0.44022175906183497,92.9322,False
