ws,wt,wc,wcl,wd,dm,Score_FGM_mean,duration_s_mean,success_count_sum,fgm_min_d_mean,fgm_ratio_mean
0.9,2.22,1.51,2.39,2.69,0.55,28.243028456059836,13.56,7,0.0031508771428571426,0.23051054899303505
1.58,2.49,1.7,2.57,2.82,0.58,28.209684397717048,13.627142857142857,7,0.004076298571428571,0.261094533238894
1.48,2.41,1.83,2.59,2.88,0.58,28.17444685541119,13.704285714285716,7,0.004057217142857143,0.28260997095180207
2.5,1.24,0.72,1.19,1.25,0.33,28.129667760064486,13.182857142857143,7,0.0034191857142857143,0.19405343872424363
1.92,2.11,1.37,2.14,2.48,0.52,28.060568442603056,13.285714285714286,7,0.0015874614285714286,0.2185593210522081
0.91,2.12,1.43,2.33,2.59,0.53,28.048291698493415,13.748571428571427,7,0.0018345271428571429,0.28860301916724546
2.75,1.54,0.89,1.46,1.81,0.46,27.901620244006512,13.468571428571428,7,0.0026156028571428574,0.21533302282306474
0.72,1.77,1.18,2.29,2.64,0.51,27.892579579038085,13.467142857142857,7,0.0025256385714285713,0.2558918680578554
0.79,2.01,1.36,2.39,2.7,0.55,27.753861149328145,13.617142857142856,7,0.002675365714285714,0.2344010013564463
1.99,2.08,1.44,2.25,2.59,0.52,27.723944076917462,13.725714285714286,7,0.00267263,0.24211922471584854
1.57,2.54,1.95,2.77,3.12,0.6,27.69850233782152,13.844285714285714,7,0.008320355714285714,0.24472139749648422
0.63,1.88,1.28,2.56,2.99,0.58,27.582403316049284,13.608571428571429,7,0.0031081485714285714,0.2162547539625543
1.47,2.4,1.8,2.62,2.89,0.57,27.50058128187863,13.472857142857142,7,0.0035533599999999998,0.2577958783937819
2.8,1.32,0.84,1.37,1.65,0.43,27.319713030020093,13.315714285714284,7,0.002642032857142857,0.22998934356116957
0.89,2.14,1.44,2.3,2.61,0.52,27.241677809986637,13.807142857142859,7,0.0031479957142857146,0.28234823029643136
1.43,1.91,1.24,1.9,2.22,0.45,26.99677216212958,13.728571428571428,7,0.003119067142857143,0.263913883721964
1.4,2.28,1.55,2.41,2.7,0.56,26.856159909523853,13.722857142857142,7,0.00256344,0.24927759784368014
0.9,2.59,1.76,2.67,2.91,0.59,26.828238418122947,13.502857142857142,7,0.001626532857142857,0.2514462531897178
0.79,2.36,1.63,2.53,2.77,0.57,26.824264211921566,13.617142857142856,7,0.0021718857142857145,0.2514572722098505
0.77,2.31,1.4,2.33,2.68,0.55,26.7566946421968,13.882857142857144,7,0.0028477385714285714,0.28133332508918213
2.95,1.1,0.68,1.22,1.39,0.4,26.75200832107263,13.217142857142859,7,0.001735787142857143,0.21790859738269444
1.94,2.12,1.39,2.16,2.49,0.52,26.643255295997637,13.801428571428572,7,0.005659604285714286,0.23248685240944258
1.48,2.37,1.61,2.46,2.74,0.56,26.41679310120415,13.87857142857143,7,0.003337532857142857,0.2753152281709876
1.48,2.02,1.35,2.06,2.38,0.49,26.29977372147721,13.76,7,0.0017799242857142858,0.23887855284081413
