map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,duration_s,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d,fre_unsafe_ratio,fre_track_rms,fgm_ratio,frenet_ratio,fgm_sc,fre_sc,S_progress,Score_FGM,Score_FRENET,success_count
playground,1.35,1.84,1.16,1.83,2.14,0.45,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765101361,GOAL,14.3,Mux_playground_WS1.35_WT1.84_WC1.16_WCL1.83_WD2.14_DM0.45_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765101361_GOAL_dur_14.30s.csv,14.3,0.00153088,0.27718360071301246,0.41404038128510884,0.0144295,0.19304691916336914,1.5575135534594131,0.31291946308724833,0.6870805369127517,0.3009869600105748,0.25642379553946126,0.13888888888888878,25.235753867406896,22.11633235442895,1
playground,0.82,2.32,1.64,2.52,2.74,0.54,Opp_bumper_v_3.csv,MUX_OBSTACLE,1765094215,GOAL,14.8,Mux_playground_WS0.82_WT2.32_WC1.64_WCL2.52_WD2.74_DM0.54_Opp_bumper_v_3.csv_MUX_OBSTACLE_1765094215_GOAL_dur_14.80s.csv,14.8,0.00393628,0.26458208057727,0.4380953870668217,0.00577259,0.13037290065471108,1.5413929521000698,0.3717914077276412,0.6282085922723588,0.305395616203929,0.26330315125306936,0.03968253968253955,22.568169324751217,19.62169677819104,1
playground,1.38,2.24,1.51,2.37,2.66,0.55,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765070040,GOAL,12.13,Mux_playground_WS1.38_WT2.24_WC1.51_WCL2.37_WD2.66_DM0.55_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765070040_GOAL_dur_12.13s.csv,12.13,0.00522268,0.33039294306335204,0.43837075223815514,0.0126136,0.19026698208854342,1.6290691479261472,0.3484998351467194,0.6515001648532806,0.28999683405241267,0.24984844261107833,0.5694444444444444,37.383111717002215,34.57272431610882,1
playground,1.55,1.4,0.86,1.13,0.44,0.4,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765099437,GOAL,12.09,Mux_playground_WS1.55_WT1.40_WC0.86_WCL1.13_WD0.44_DM0.40_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765099437_GOAL_dur_12.09s.csv,12.09,0.00326098,0.1733385153517295,0.4832686788698681,0.0230257,0.2263630089717046,1.5168044366095341,0.4320211710221634,0.5679788289778366,0.32482122356170756,0.2610800350780235,0.5773809523809526,40.05891422074811,35.59703102689022,1
playground,1.62,1.48,0.92,1.21,0.48,0.42,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765062083,GOAL,11.91,Mux_playground_WS1.62_WT1.48_WC0.92_WCL1.21_WD0.48_DM0.42_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765062083_GOAL_dur_11.91s.csv,11.91,0.00602473,0.5399267399267399,0.45803606686462406,0.027015,0.09736030167980803,1.4712576180622896,0.3749580396106076,0.6250419603893924,0.23567450952850805,0.30229266399217153,0.6130952380952381,34.890072809852704,39.55334362230915,1
playground,0.83,2.42,1.68,2.58,2.83,0.58,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765077727,GOAL,13.9,Mux_playground_WS0.83_WT2.42_WC1.68_WCL2.58_WD2.83_DM0.58_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765077727_GOAL_dur_13.90s.csv,13.9,0.00298857,0.5067137809187279,0.42350723527883766,0.00693619,0.27055016181229774,1.4847083539496257,0.1401035673187572,0.8388952819332566,0.24303793781526728,0.2327027896804359,0.21825396825396823,23.560274694687756,22.83681432524956,1
playground,1.59,1.45,0.89,1.18,0.46,0.41,Opp_bumper_slow_2.csv,MUX_OBSTACLE,1765082238,GOAL,13.36,Mux_playground_WS1.59_WT1.45_WC0.89_WCL1.18_WD0.46_DM0.41_Opp_bumper_slow_2.csv_MUX_OBSTACLE_1765082238_GOAL_dur_13.36s.csv,13.36,0.00285912,0.545045045045045,0.43076492140378625,0.0291564,0.10981749528005035,1.514186033453978,0.28314875785692906,0.7168512421430709,0.23250758088814655,0.29859275025270293,0.3253968253968256,26.037435424075024,30.663397279593973,1
playground,1.19,2.19,1.58,2.36,2.66,0.53,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765064145,GOAL,13.56,Mux_playground_WS1.19_WT2.19_WC1.58_WCL2.36_WD2.66_DM0.53_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765064145_GOAL_dur_13.56s.csv,13.56,0.00218235,0.5482166446499339,0.423198355775337,0.0195618,0.12813283208020051,1.5877454125810426,0.21645532291359482,0.7835446770864052,0.23142037167749296,0.27711533085215967,0.28571428571428564,24.770854588853076,27.969501731079742,1
playground,1.88,1.74,1.03,1.33,1.53,0.42,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765099941,GOAL,12.68,Mux_playground_WS1.88_WT1.74_WC1.03_WCL1.33_WD1.53_DM0.42_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765099941_GOAL_dur_12.68s.csv,12.68,0.00247715,0.3580476900149031,0.4751234765599326,0.0248372,0.17964262922782387,1.5427932544552008,0.24755597603279722,0.7524440239672028,0.2769657828133154,0.2734113028803309,0.46031746031746046,33.19712860645589,32.94831501114698,1
playground,2.87,1.64,0.73,1.32,1.45,0.42,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765077773,GOAL,13.77,Mux_playground_WS2.87_WT1.64_WC0.73_WCL1.32_WD1.45_DM0.42_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765077773_GOAL_dur_13.77s.csv,13.77,0.00304496,0.41151566469093986,0.45215656789809194,0.00727975,0.21243523316062177,1.4681832333289768,0.18670150987224157,0.8132984901277585,0.2655387405153232,0.24923926623519893,0.24404761904761918,25.909140407501198,24.7681772078925,1
