# x, y, yaw_rad, speed_mps, dist_to_wall
-56.9743,28.1195,-1.14054,7,1.0998
-56.9411,28.0471,-1.14051,7,1.07662
-56.9078,27.9746,-1.14047,7,1.07662
-56.8746,27.9022,-1.14042,7,1.05361
-56.8413,27.8297,-1.14035,7,1.07662
-56.808,27.7573,-1.14028,7,1.06521
-56.7748,27.6848,-1.1402,7,1.07662
-56.7415,27.6124,-1.14013,7,1.0998
-56.7082,27.5399,-1.14004,7,1.07662
-56.6749,27.4675,-1.13996,7,1.0998
-56.6416,27.395,-1.13988,7,1.07662
-56.6083,27.3226,-1.1398,7,1.07662
-56.575,27.2501,-1.13973,7,1.05361
-56.5417,27.1777,-1.13966,7,1.07662
-56.5083,27.1052,-1.1396,7,1.0998
-56.475,27.0328,-1.13954,7,1.07662
-56.4417,26.9603,-1.1395,7,1.0998
-56.4083,26.8879,-1.13947,7,1.07662
-56.375,26.8154,-1.13945,7,1.07662
-56.3416,26.743,-1.13944,7,1.05361
-56.3083,26.6705,-1.13944,7,1.07662
-56.275,26.5981,-1.13946,7,1.07662
-56.2416,26.5256,-1.13949,7,1.05361
-56.2083,26.4532,-1.13952,7,1.07662
-56.1749,26.3807,-1.13958,7,1.06521
-56.1416,26.3083,-1.13964,7,1.0998
-56.1083,26.2358,-1.13971,7,1.05361
-56.0749,26.1634,-1.13979,7,1.07662
-56.0416,26.0909,-1.13987,7,1.0998
-56.0083,26.0185,-1.13997,7,1.07662
-55.975,25.946,-1.14007,7,1.07662
-55.9417,25.8736,-1.14017,7,1.05361
-55.9084,25.8011,-1.14027,7,1.07662
-55.8752,25.7287,-1.14038,7,1.06521
-55.8419,25.6562,-1.14048,7,1.07662
-55.8087,25.5838,-1.14059,7,1.0998
-55.7754,25.5113,-1.14069,7,1.07662
-55.7422,25.4389,-1.14079,7,1.0998
-55.7089,25.3664,-1.14088,7,1.05361
-55.6757,25.294,-1.14097,7,1.07662
-55.6425,25.2215,-1.14105,7,1.05361
-55.6093,25.1491,-1.14113,7,1.07662
-55.5761,25.0766,-1.1412,7,1.07662
-55.5429,25.0042,-1.14127,7,1.06521
-55.5097,24.9317,-1.14132,7,1.0998
-55.4766,24.8593,-1.14138,7,1.07662
-55.4434,24.7868,-1.14142,7,1.07662
-55.4102,24.7144,-1.14146,7,1.05361
-55.377,24.6419,-1.14149,7,1.07662
-55.3439,24.5695,-1.14152,7,1.0998
-55.3107,24.497,-1.14153,7,1.05361
-55.2775,24.4246,-1.14155,7,1.07662
