ws,wt,wc,wcl,wd,dm,Score_FGM_mean,Score_FGM_max,Score_FRENET_mean,Score_FRENET_max,duration_s_mean,collision_flag_sum,fgm_min_d_mean,fre_min_d_mean
0.89,2.55,1.73,2.64,2.88,0.59,18.32220577757461,24.439973088604603,17.439952367022787,21.917481393515626,14.68375,0,0.00183500875,0.00748871875
2.63,1.63,0.74,1.12,1.13,0.32,18.27346193625008,21.484017635196963,16.66748077188287,24.04023778333996,12.87875,0,0.0025684325,0.01577029625
1.59,1.44,0.88,1.17,0.46,0.41,18.26505733118519,21.436558746731542,16.97981611560237,23.991252277355052,11.86125,1,0.0032598024999999997,0.01789639375
1.74,1.59,0.97,1.31,0.52,0.46,18.256942384193177,22.808339509695326,17.586282940184,22.62569297964683,10.76125,0,0.00293839,0.024321818571428573
0.79,2.36,1.63,2.53,2.77,0.57,18.251660074874053,23.002941504237317,17.18478052768773,22.310123398833078,11.915,0,0.0021718857142857145,0.017090352857142856
1.57,1.43,0.89,1.16,0.46,0.41,18.142241996413134,25.041465895974234,16.547955951974256,23.19619167753274,12.1475,1,0.003917885,0.01580323
2.76,1.55,0.9,1.47,1.82,0.46,18.131804916270376,25.314067971509225,17.73813466714964,21.80231764504352,13.9975,0,0.002772955,0.0072449525
0.83,2.42,1.68,2.58,2.83,0.58,18.123838663714498,23.96152778701971,17.616151857228928,22.368543439540865,11.965,1,0.002297954285714286,0.013777937142857143
0.71,1.96,1.49,2.63,2.87,0.57,18.11874126888282,23.29669281486459,16.95344393407156,20.789990181438828,14.95875,0,0.00307167375,0.01175818125
1.99,2.08,1.44,2.25,2.59,0.52,18.105203051112376,25.36695984991637,16.77442344278056,21.205763238184165,13.18375,1,0.00410256375,0.014939225
2.41,1.48,0.79,1.28,1.36,0.37,18.06772959512742,25.37675012481653,16.19079834189441,22.207986988075064,13.45875,0,0.00251103,0.0134503925
0.82,2.41,1.66,2.55,2.78,0.56,18.023246083262585,23.52414168020034,17.164366700117924,21.710849434272347,13.5625,1,0.0042837825,0.00963290875
1.52,1.39,0.85,1.12,0.43,0.39,17.997525432794767,21.53190143906044,16.020482692444922,23.801162473269937,11.01875,1,0.004890955,0.019714259999999997
1.64,1.47,0.91,1.2,0.48,0.42,17.99652813472823,21.67019509401501,16.94948317107858,22.76523124141922,11.7275,1,0.00443247375,0.01442194875
1.62,1.48,0.9,1.21,0.47,0.42,17.996247694741598,21.34713060422162,17.07648643001226,23.635785898910306,12.38875,0,0.00436961375,0.0143494975
2.18,1.47,0.75,1.15,1.17,0.33,17.97245419793893,23.0966852170247,17.024335225536305,22.08144510488752,12.92125,0,0.00427203375,0.01685844625
1.92,2.11,1.37,2.14,2.48,0.52,17.953577107453164,24.99443562340515,17.04676810100214,21.902370724590693,14.0325,0,0.00235646875,0.0105163775
2.59,1.61,0.72,1.1,1.11,0.32,17.946522606758624,21.03666747664533,16.01386724834429,23.096652045971904,13.0575,0,0.0023541075,0.01002917
2.76,1.34,0.86,1.39,1.67,0.44,17.929233517674884,24.086940643456185,17.16084555231917,22.29247949516614,13.965,0,0.002307875,0.0041442225
2.53,1.38,0.62,1.16,1.15,0.32,17.923153911614516,21.154372228543078,16.792351832532738,23.43599993305141,12.49625,0,0.0027749125,0.007897877499999999
1.47,2.4,1.8,2.62,2.89,0.57,17.9116913877497,24.648565990443338,17.191755557271286,21.475168696510863,14.09375,0,0.00343826625,0.011330162500000001
0.89,2.13,1.77,2.79,3.14,0.59,17.907837988232988,23.822904678787356,17.50493637360491,22.03602509427422,14.06875,0,0.0030648462500000003,0.01321997125
0.67,2.03,1.3,2.43,2.7,0.56,17.905395839655668,23.50810476218699,17.626764519912715,21.22167020981606,14.06,0,0.00267165875,0.029256866250000003
2.61,1.6,0.73,1.11,1.12,0.32,17.88316698572129,21.954096339330892,17.247031402331434,23.089862759267,11.99125,1,0.00260755375,0.01280734625
2.35,1.75,0.73,1.11,1.1,0.31,17.861037502607726,21.4993505469289,16.004744548785467,23.24094007288433,11.2175,1,0.00257469,0.017551655000000003
2.94,1.11,0.69,1.22,1.37,0.39,17.857141617573895,24.58120851332225,15.551344072734953,22.325387439261938,13.35,0,0.00305040375,0.01142531875
0.73,1.74,1.1,2.22,2.57,0.51,17.83883582347725,23.25677174391454,16.258828718574794,20.25892979065346,15.035,0,0.00417949,0.005652855
1.62,1.48,0.92,1.21,0.48,0.42,17.828998632417814,21.158370565298615,16.952919722842964,23.17873946450936,11.805,1,0.0041035775,0.0142965925
2.85,1.63,0.75,1.31,1.43,0.41,17.81987981574942,22.651892603398966,17.128074365078373,22.7724605353466,12.80375,0,0.0019230525,0.012978007500000001
2.23,1.5,0.78,1.18,1.2,0.34,17.709988082984374,21.614783250703127,16.49241404277299,22.951295870650707,13.0175,1,0.002442535,0.0104056
