map,ws,wt,wc,wcl,wd,dm,opp_config,mode,stamp,file_result,file_dur,filename,finish_reason,duration_s,total_dist_m,collision_flag,fgm_min_d,fgm_unsafe_ratio,fgm_track_rms,fre_min_d,fre_unsafe_ratio,fre_track_rms,fgm_sc,fre_sc,S_progress,Score_FGM,Score_FRENET
playground,2.5,1.24,0.72,1.19,1.25,0.33,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765063491,GOAL,11.34,Mux_playground_WS2.50_WT1.24_WC0.72_WCL1.19_WD1.25_DM0.33_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765063491_GOAL_dur_11.34s.csv,GOAL REACHED,11.34,34.04,False,0.00698183,1.0,0.440878173934561,0.00636038,0.6204431736954967,1.5272913805563681,0.079874546580777,0.09760032676401513,0.542741935483871,21.873476325170518,23.114280937997187
playground,1.93,2.11,1.38,2.15,2.41,0.51,Opp_bumper_v_2.csv,MUX_OBSTACLE,1765089642,GOAL,14.77,Mux_playground_WS1.93_WT2.11_WC1.38_WCL2.15_WD2.41_DM0.51_Opp_bumper_v_2.csv_MUX_OBSTACLE_1765089642_GOAL_dur_14.77s.csv,GOAL REACHED,14.77,34.12,False,0.00333887,0.7174447174447175,0.4352513020428415,0.00160479,0.6708074534161491,1.6162467258998674,0.1533354580795239,0.08464951197870452,0.4044354838709678,22.866546581695708,18.05853035463835
playground,1.2886,1.3851,1.0061,1.5466,1.5632,0.2146,Opp_bumper_v_5.csv,MUX_OBSTACLE,1765075886,GOAL,12.87,Mux_playground_WS1.2886_WT1.3851_WC1.0061_WCL1.5466_WD1.5632_DM0.2146_Opp_bumper_v_5.csv_MUX_OBSTACLE_1765075886_GOAL_dur_12.87s.csv,GOAL REACHED,12.87,34.04,False,0.00324687,0.8254742547425474,0.36180299022423745,0.00210018,0.5674138507862161,1.6876910176675752,0.13604905017702532,0.11123643836925873,0.4810483870967742,23.954885125294997,22.218002298751337
playground,2.33,1.52,0.8,1.22,1.34,0.37,Opp_bumper_v_3.csv,MUX_OBSTACLE,1765098707,GOAL,13.85,Mux_playground_WS2.33_WT1.52_WC0.80_WCL1.22_WD1.34_DM0.37_Opp_bumper_v_3.csv_MUX_OBSTACLE_1765098707_GOAL_dur_13.85s.csv,GOAL REACHED,13.85,34.04,False,0.00130997,0.9872677219545767,0.47659992068172585,0.0047858,0.9331869510664994,1.58805687114296,0.07804545425714803,0.01718049829718587,0.4415322580645162,18.709149539935847,14.448602622738496
playground,1.4516,2.7474,1.0353,1.2191,1.035,0.1973,Opp_bumper_v_3.csv,MUX_OBSTACLE,1765061283,CRASH,4.38,Mux_playground_WS1.4516_WT2.7474_WC1.0353_WCL1.2191_WD1.035_DM0.1973_Opp_bumper_v_3.csv_MUX_OBSTACLE_1765061283_CRASH_dur_4.38s.csv,COLLISION DETECTED,4.38,14.0,True,0.0191024,1.0,0.4433580503282681,0.0538122,1.0,0.14409621874795717,0.07952027852453314,0.12227196875029185,0.8233870967741936,0.0,0.0
playground,0.74,2.3,1.61,2.48,2.72,0.56,Opp_bumper_slow_0.5.csv,MUX_OBSTACLE,1765064003,GOAL,15.42,Mux_playground_WS0.74_WT2.30_WC1.61_WCL2.48_WD2.72_DM0.56_Opp_bumper_slow_0.5.csv_MUX_OBSTACLE_1765064003_GOAL_dur_15.42s.csv,GOAL REACHED,15.42,34.07,False,0.0168526,1.0,0.4565148540593639,0.0158207,0.7146395156851953,1.6577409126469334,0.0776407351343766,0.07337841025237835,0.3782258064516129,16.781625652954748,16.483262911214872
playground,0.72,1.77,1.18,2.29,2.64,0.51,Opp_bumper_v_4.csv,MUX_OBSTACLE,1765100848,GOAL,14.94,Mux_playground_WS0.72_WT1.77_WC1.18_WCL2.29_WD2.64_DM0.51_Opp_bumper_v_4.csv_MUX_OBSTACLE_1765100848_GOAL_dur_14.94s.csv,GOAL REACHED,14.94,34.05,False,0.00322937,0.7541030809098762,0.41489087416199283,0.0020375,0.6386861313868614,1.658734738223724,0.1468176543143186,0.09290928050052137,0.3975806451612904,22.204655156841014,18.431068989875207
playground,2.76,1.34,0.86,1.39,1.67,0.44,Opp_bumper_slow_1.csv,MUX_OBSTACLE,1765072254,GOAL,13.11,Mux_playground_WS2.76_WT1.34_WC0.86_WCL1.39_WD1.67_DM0.44_Opp_bumper_slow_1.csv_MUX_OBSTACLE_1765072254_GOAL_dur_13.11s.csv,GOAL REACHED,13.11,34.09,False,0.00464429,1.0,0.46142945970418986,0.0022872,0.6171770972037284,1.6343257585621525,0.07693864861368717,0.09844017500475555,0.47137096774193554,19.526834435216166,21.031941282590953
playground,2.51,1.49,0.85,1.28,1.36,0.38,Opp_bumper_slow_1.5.csv,MUX_OBSTACLE,1765080200,GOAL,13.31,Mux_playground_WS2.51_WT1.49_WC0.85_WCL1.28_WD1.36_DM0.38_Opp_bumper_slow_1.5.csv_MUX_OBSTACLE_1765080200_GOAL_dur_13.31s.csv,GOAL REACHED,13.31,34.05,False,0.00198435,0.9921773142112125,0.4329215431099485,0.0301754,0.5723127035830619,1.4729039545479938,0.08302275590140988,0.10997673336435553,0.46330645161290324,19.710786461485785,21.59756488389198
playground,1.62,2.34,1.63,2.4,2.74,0.57,Opp_bumper_slow_2.csv,MUX_OBSTACLE,1765086707,GOAL,12.99,Mux_playground_WS1.62_WT2.34_WC1.63_WCL2.40_WD2.74_DM0.57_Opp_bumper_slow_2.csv_MUX_OBSTACLE_1765086707_GOAL_dur_12.99s.csv,GOAL REACHED,12.99,34.07,False,0.00113181,0.9921000658327848,0.4601291494173746,0.00666651,0.5701754385964912,1.620129906874608,0.07915581886908757,0.11052631578947368,0.4762096774193548,19.827197643416774,22.0231324278438
