# time_s,speed_mps,steer_rad
77.3397,3.5,-0.0727273
77.4402,3.5,-0.0402273
77.5078,3.5,-0.112955
77.6082,3.5,-0.0804545
77.7086,3.5,-0.0479545
77.8091,3.5,-0.0154545
77.9095,3.5,0
78.0099,3.5,0
78.1219,3.5,-0.0402273
78.2223,3.5,-0.00772727
78.3227,3.5,0
78.423,3.5,0
78.4552,3.5,0.0727273
78.5557,3.5,0.0402273
78.6561,3.5,0.00772727
78.7564,3.5,0
78.8569,3.5,0
78.9573,3.5,0
79.0576,3.5,0
79.1581,3.5,0
79.2585,3.5,0
79.359,3.5,0
79.438,3.5,0.0727273
79.5385,3.5,0.0402273
79.6389,3.5,0.00772727
79.7392,3.5,0
79.8283,3.5,0.0727273
79.9287,3.5,0.0402273
80.0291,3.5,0.00772727
80.1295,3.5,0
80.2,3.5,-0.0727273
80.3005,3.5,-0.0402273
80.4009,3.5,-0.00772727
80.5014,3.5,0
80.6018,3.5,0
80.6472,3.5,-0.0727273
80.7476,3.5,-0.0402273
80.8479,3.5,-0.00772727
80.9483,3.5,0
81.0488,3.5,0
81.1492,3.5,0
81.2188,3.5,-0.0727273
81.3192,3.5,-0.0402273
81.4196,3.5,-0.00772727
81.4864,3.5,-0.0804545
81.5868,3.5,-0.0479545
81.6529,3.5,-0.120682
81.7534,3.5,-0.0881818
81.8537,3.5,-0.0556818
81.875,3.5,-0.128409
81.9755,3.5,-0.0959091
82.076,3.5,-0.0634091
82.1764,3.5,-0.0309091
82.2768,3.5,0
82.3772,3.5,0
82.4426,3.5,-0.0727273
82.5432,3.5,-0.0402273
82.6436,3.5,-0.00772727
82.7572,3.5,-0.0479545
82.821,3.5,-0.120682
82.9214,3.5,-0.0881818
82.9718,3.5,-0.160909
83.0723,3.5,-0.128409
83.1759,3.5,-0.0959091
83.2763,3.5,-0.0634091
83.3768,3.5,-0.0309091
83.4877,3.5,-0.0711364
83.5882,3.5,-0.0386364
83.6886,3.5,-0.00613636
83.7891,3.5,0
83.8895,3.5,0
83.99,3.5,0
84.0226,3.5,0.0727273
84.1231,3.5,0.0402273
84.2235,3.5,0.00772727
84.3239,3.5,0
84.3747,3.5,-0.0727273
84.4752,3.5,-0.0402273
84.5389,3.5,-0.112955
84.6393,3.5,-0.0804545
84.7031,3.5,-0.153182
84.8036,3.5,-0.120682
84.9039,3.5,-0.0881818
85.0042,3.5,-0.0556818
85.1047,3.5,-0.0231818
85.2051,3.5,0
85.3055,3.5,0
85.4059,3.5,0
85.4332,3.5,0.0727273
85.5337,3.5,0.0402273
85.6341,3.5,0.00772727
85.7345,3.5,0
85.8348,3.5,0
85.9353,3.5,0
86.0357,3.5,0
