ws,wt,wc,wcl,wd,dm,Score_FGM_mean,Score_FGM_max,Score_FRENET_mean,Score_FRENET_max,duration_s_mean,valid_count_sum,fgm_min_d_mean,fgm_ratio_mean,frenet_ratio_mean
1.61,1.59,0.92,1.23,1.29,0.36,28.67446529942271,31.87889997214834,30.080265033549736,34.344856191145126,13.09,8,0.00293060125,0.2678324503643329,0.7321675496356671
1.5,2.47,1.69,2.56,2.82,0.58,28.593890870558905,38.56558697238424,25.2397500179255,31.606446758589623,13.73375,8,0.00375007125,0.2626420961199735,0.7373579038800264
1.96,2.14,1.42,2.21,2.49,0.53,28.518926237530245,35.76987500725559,27.94551925585021,38.64349652670765,13.41625,8,0.0041214625,0.22191406990268386,0.7780859300973161
0.73,1.79,1.2,2.27,2.62,0.51,28.51494113146443,36.87533848453896,26.50117160170846,36.44739414677789,13.56125,8,0.00234331875,0.25185239313062147,0.7481476068693785
0.86,2.55,1.76,2.69,2.91,0.59,28.2361326013699,37.24716971472981,27.78029338759839,41.55376698655451,13.44875,8,0.0017874725,0.281123122720055,0.718876877279945
2.03,1.14,0.82,1.53,1.92,0.46,28.11836519947159,34.904817347920684,26.83360823649511,32.3077423986212,13.50625,8,0.00201218625,0.20789618095722143,0.7921038190427786
1.6,1.63,0.93,1.24,1.3,0.37,28.046319759656193,35.57322788593566,28.6288226748569,37.66834986811068,13.21375,8,0.0027629687500000002,0.22774334573793098,0.7717115351745145
1.93,2.11,1.38,2.15,2.41,0.51,27.887009171653265,34.0866149058929,25.90111770055983,40.68659016631248,13.64125,8,0.00337876625,0.21800475782254325,0.7819952421774568
1.41,2.31,1.57,2.44,2.74,0.56,27.795320891129336,35.005835294251774,26.50217340034747,35.29211249408219,13.625,8,0.00239647875,0.27846538048474545,0.7215346195152545
0.96,2.07,1.4,2.25,2.52,0.49,27.73803109621806,36.6983623065906,26.12310506596999,32.03053836773303,13.65,8,0.00226882875,0.25098779873463817,0.7490122012653618
0.92,2.45,1.68,2.61,2.88,0.58,27.62211328997757,31.132784775032512,26.538741859575765,32.75703857802959,13.555,8,0.0021242187500000002,0.2697558896789534,0.7302441103210466
0.76,1.82,1.22,2.29,2.64,0.52,27.606344876210752,31.150996977445587,26.858827557357962,35.927655728010045,13.545,8,0.0021058362499999997,0.23360067077886182,0.7612487182521129
0.88,2.19,1.49,2.35,2.66,0.54,27.589889819298357,38.83719101951223,25.118801696782963,31.969524263469733,13.77,8,0.00268257,0.2607537136297372,0.7367362462096202
0.87,2.58,1.81,2.71,2.91,0.57,27.401218943983263,32.86098613988149,25.116825141809574,34.500700264137095,13.838750000000001,8,0.002087625,0.2931411971655128,0.7068588028344872
1.26,2.28,1.63,2.35,2.66,0.53,27.37442716571776,33.12969903803018,25.09598802462918,29.76217167511239,13.73,8,0.00433924875,0.2853119712084131,0.7146880287915869
1.36,1.85,1.17,1.84,2.15,0.45,27.21961465090505,39.198640107558894,25.192530612441885,35.39463433095903,13.71625,8,0.00360927125,0.23078530776121903,0.769214692238781
0.95,2.06,1.39,2.24,2.51,0.49,27.217074324584146,38.9232053820583,25.073185282579548,36.94044635146899,13.78875,8,0.00185604,0.2795603791432209,0.7204396208567792
1.21,2.25,1.6,2.32,2.63,0.52,27.1701474091585,33.17115222551791,26.216014954630168,36.13571951062623,13.65875,8,0.00205208875,0.2220671362879535,0.7779328637120465
0.78,1.69,1.05,2.18,2.56,0.49,27.07033046161823,33.82598107920528,25.380621069803126,33.68746695955215,13.735,8,0.00202729375,0.2690773968159117,0.7309226031840883
1.34,1.86,1.18,1.85,2.16,0.45,27.051012821640242,32.03836769044362,25.115425978658415,30.42266276647656,13.78875,8,0.00227139,0.25541805095788506,0.7445819490421149
1.85,2.12,1.5,2.33,2.67,0.52,27.022568930201754,30.983989199739213,25.369256002304652,29.776053313642482,13.69625,8,0.0019169175,0.23541139405640027,0.7645886059435998
1.23,2.27,1.61,2.34,2.65,0.52,26.98067243148961,33.836338887012744,24.880083133874948,28.615618083532908,13.936250000000001,8,0.00278813625,0.2748608658524065,0.7251391341475936
0.84,2.27,1.55,2.39,2.67,0.54,26.936683065275396,32.37029508140692,25.409425878237972,32.65199075364415,13.735,8,0.0022500175,0.2950819173576008,0.7049180826423992
0.82,2.32,1.64,2.52,2.74,0.54,26.785165624383005,31.43539899257623,26.24071003941468,35.018725129756014,13.6625,8,0.00257795625,0.2594441173589681,0.7405558826410319
0.87,2.51,1.71,2.62,2.86,0.58,26.774567805467797,33.64027689429409,25.055930867831133,40.07951351869225,13.85875,8,0.0030374275000000003,0.31521655551556743,0.6847834444844325
1.56,2.52,1.93,2.79,3.1,0.59,26.77197910445495,32.88284590326647,25.666520118181353,35.99432237670108,13.7925,8,0.0036212412499999997,0.272852549823847,0.727147450176153
1.29,2.31,1.57,2.4,2.69,0.55,26.61652102709704,37.30462330708768,25.293305612911837,31.337415032487797,13.7875,8,0.00250182375,0.252441870712676,0.747558129287324
1.19,2.19,1.58,2.36,2.66,0.53,26.593918605553576,32.649871056474375,25.93295322340457,38.905354545773626,13.76625,8,0.0021672425,0.24931367741254074,0.7481610700622068
1.3,2.04,1.28,2.04,2.36,0.48,26.3587677573705,31.88198262673986,24.587093819820733,29.117339341149336,13.85,8,0.0029722975,0.2293586473742724,0.7706413526257276
0.94,2.05,1.38,2.23,2.5,0.49,26.32862358237275,38.21928147098748,25.35543487945115,40.90974491626994,13.73,8,0.00224150375,0.24192714188132802,0.758072858118672
1.43,2.3,1.56,2.43,2.73,0.56,26.08923160713264,32.01857561512685,25.65300643370086,30.203698619182163,13.80625,8,0.0017727387499999999,0.23277522817552174,0.7672247718244782
1.37,1.91,1.19,1.78,2.09,0.44,25.56310517935679,32.23002995791002,24.95157460358301,31.522605237204758,13.88125,8,0.004195385,0.22402840194872176,0.7759715980512782
0.9,2.51,1.72,2.61,2.87,0.58,25.34254184908227,33.19688459022242,24.380904353258753,32.819841213674785,14.01375,8,0.0032027799999999997,0.26218913144711814,0.7378108685528819
1.33,1.86,1.14,1.81,2.11,0.44,24.711610829824586,29.30365863777864,24.68581177817935,34.453888296105575,13.95375,8,0.0023018987499999997,0.2100390469038928,0.7899609530961073
1.55,1.42,0.87,1.15,0.45,0.4,37.39209843025191,41.73391380972905,38.916961298009916,46.58125295950237,11.824285714285717,7,0.002264722857142857,0.32141741180168676,0.6725616597169173
1.56,1.41,0.86,1.14,0.44,0.4,36.640471285123446,40.931229653510414,40.213890674592434,47.48429623131912,11.825714285714286,7,0.002175774285714286,0.34278308152988485,0.6572169184701151
1.52,1.39,0.85,1.12,0.43,0.39,35.76948603704611,41.66640454433502,36.58736916270018,43.40670093520404,12.221428571428572,7,0.0028239485714285713,0.3511452174893886,0.6488547825106113
1.7,1.54,0.95,1.27,0.51,0.45,35.73173544014141,41.7217952369754,38.27320714894713,45.11573967474952,11.972857142857142,7,0.00255128,0.3341362465586339,0.6658637534413661
