# x,y,yaw_rad,speed_mps,dist_to_wall
-0.53542,29.58487,-1.37628,3.38993,1.34951
-0.51609,29.48675,-1.34226,3.40072,1.3509
-0.49343,29.38936,-1.30869,3.41462,1.33748
-0.46752,29.29277,-1.27493,3.41739,1.32697
-0.43837,29.19712,-1.24158,3.41575,1.30283
-0.40604,29.10249,-1.20746,3.40658,1.30901
-0.3705,29.00902,-1.17326,3.38388,1.26383
-0.33179,28.91682,-1.13845,3.35853,1.24782
-0.28989,28.82602,-1.10285,3.31839,1.24335
-0.24478,28.73678,-1.06633,3.27583,1.25763
-0.19645,28.64923,-1.02845,3.22629,1.29463
-0.14483,28.56359,-0.98958,3.17106,1.30767
-0.08993,28.48001,-0.9492,3.11971,1.29572
-0.0317,28.39871,-0.90742,3.06293,1.3285
0.02988,28.31992,-0.86451,3.01567,1.32894
0.09478,28.24385,-0.81942,2.96965,1.33474
0.16304,28.17078,-0.77383,2.93162,1.34243
0.23456,28.10089,-0.72772,2.9045,1.39823
0.30923,28.03438,-0.68075,2.88246,1.37622
0.38693,27.97144,-0.63255,2.87793,1.33373
0.46758,27.91232,-0.58573,2.87947,1.30373
0.55091,27.85704,-0.5392,2.89861,1.29767
0.63672,27.8057,-0.49349,2.92942,1.25659
0.72479,27.75833,-0.44863,2.9731,1.28505
0.81489,27.71496,-0.40622,3.03557,1.22142
0.90675,27.67545,-0.36603,3.107,1.22017
1.00012,27.63966,-0.32693,3.19854,1.17783
1.09482,27.60754,-0.292,3.29117,1.18174
1.19059,27.57876,-0.25734,3.38105,1.21856
1.28729,27.55331,-0.22793,3.46867,1.20431
1.3847,27.53071,-0.19898,3.55409,1.2385
1.48273,27.51094,-0.17348,3.63752,1.1979
1.58123,27.49368,-0.15086,3.71908,1.24807
1.68009,27.47865,-0.12912,3.79889,1.24871
1.77926,27.46578,-0.11114,3.87706,1.25156
1.87864,27.45469,-0.09518,3.95368,1.24455
1.97819,27.44518,-0.0797,4.02884,1.29394
2.07787,27.43722,-0.06854,4.10263,1.29953
2.17763,27.43037,-0.05642,4.17511,1.30036
2.27748,27.42473,-0.04689,4.24636,1.2999
2.37737,27.42005,-0.03949,4.31643,1.30002
2.47729,27.4161,-0.03253,4.38538,1.3
2.57723,27.41284,-0.02566,4.45326,1.3
2.6772,27.41028,-0.02132,4.52012,1.3
2.77718,27.40815,-0.01778,4.58602,1.3
2.87716,27.40637,-0.0139,4.65098,1.3
2.97715,27.40498,-0.01082,4.71504,1.3
3.07715,27.4039,-0.00912,4.77824,1.3
3.17714,27.40299,-0.00646,4.84061,1.3
3.27714,27.40234,-0.00617,4.9022,1.3
