# x, y, speed_mps, dist_to_wall
-62.3205,36.3048,7,0.416952
-62.2679,36.2324,7,0.439957
-62.2154,36.16,7,0.451907
-62.163,36.0876,7,0.439957
-62.1107,36.0152,7,0.451907
-62.0586,35.9428,7,0.451907
-62.0067,35.8704,7,0.463141
-61.9548,35.7979,7,0.451907
-61.9031,35.7255,7,0.416952
-61.8516,35.6531,7,0.439957
-61.8001,35.5806,7,0.451907
-61.7488,35.5081,7,0.439957
-61.6976,35.4355,7,0.463141
-61.6464,35.3628,7,0.486862
-61.5953,35.2899,7,0.498096
-61.5441,35.2168,7,0.486862
-61.4929,35.1434,7,0.498096
-61.4416,35.0697,7,0.463141
-61.3902,34.9955,7,0.486862
-61.3386,34.9208,7,0.463141
-61.2867,34.8455,7,0.486862
-61.2345,34.7696,7,0.498096
-61.182,34.6929,7,0.486862
-61.1292,34.6156,7,0.498096
-61.076,34.5375,7,0.509329
-61.0226,34.4587,7,0.498096
-60.9689,34.3793,7,0.509329
-60.9149,34.2993,7,0.533051
-60.8607,34.2187,7,0.451907
-60.8064,34.1377,7,0.463141
-60.7521,34.0563,7,0.451907
-60.6976,33.9745,7,0.463141
-60.6432,33.8925,7,0.486862
-60.5888,33.8103,7,0.463141
-60.5345,33.7279,7,0.486862
-60.4803,33.6454,7,0.463141
-60.4262,33.5628,7,0.486862
-60.3723,33.4802,7,0.451907
-60.3185,33.3975,7,0.463141
-60.2648,33.3148,7,0.486862
-60.2113,33.232,7,0.463141
-60.158,33.1493,7,0.486862
-60.1049,33.0665,7,0.416952
-60.0519,32.9837,7,0.439957
-59.9992,32.9009,7,0.416952
-59.9466,32.8182,7,0.439957
-59.8941,32.7354,7,0.463141
-59.8419,32.6526,7,0.451907
-59.7898,32.5698,7,0.463141
-59.7379,32.487,7,0.463141
-59.6861,32.4042,7,0.497917
-59.6346,32.3214,7,0.497917
-59.5832,32.2386,7,0.463141
-59.532,32.1558,7,0.486862
-59.4809,32.0731,7,0.463141
-59.43,31.9903,7,0.497917
-59.3793,31.9075,7,0.497917
-59.3287,31.8247,7,0.509329
-59.2783,31.7419,7,0.509329
-59.2281,31.6591,7,0.544284
-59.178,31.5763,7,0.509329
-59.1281,31.4935,7,0.509329
-59.0784,31.4107,7,0.544284
-59.0288,31.3279,7,0.544284
-58.9794,31.2451,7,0.567289
-58.9301,31.1623,7,0.567289
-58.881,31.0795,7,0.613837
-58.832,30.9967,7,0.590473
-58.7832,30.9139,7,0.590473
-58.7345,30.8312,7,0.625249
-58.686,30.7484,7,0.625249
-58.6377,30.6656,7,0.636661
-58.5894,30.5828,7,0.636661
-58.5414,30.5,7,0.625249
-58.4934,30.4172,7,0.636661
